날짜,현대차,크래프톤,대한항공,카카오페이
2022-03-30T17,47,40,58,91
2022-03-30T18,53,28,46,64
2022-03-30T19,46,28,48,73
2022-03-30T20,27,26,38,54
2022-03-30T21,25,17,38,65
2022-03-30T22,30,22,35,74
2022-03-30T23,34,24,27,63
2022-03-31T00,24,17,26,79
2022-03-31T01,21,8,30,60
2022-03-31T02,26,12,22,90
2022-03-31T03,18,16,25,47
2022-03-31T04,60,21,15,74
2022-03-31T05,53,0,28,25
2022-03-31T06,20,14,40,16
2022-03-31T07,31,0,25,42
2022-03-31T08,39,0,42,53
2022-03-31T09,85,25,72,53
2022-03-31T10,82,56,69,58
2022-03-31T11,81,66,75,75
2022-03-31T12,86,60,67,88
2022-03-31T13,69,47,67,85
2022-03-31T14,60,76,58,86
2022-03-31T15,78,59,60,87
2022-03-31T16,64,24,62,87
2022-03-31T17,62,66,53,97
2022-03-31T18,41,33,46,70
2022-03-31T19,34,61,39,85
2022-03-31T20,43,26,39,56
2022-03-31T21,42,25,32,62
2022-03-31T22,33,40,46,66
2022-03-31T23,25,32,34,82
2022-04-01T00,26,29,34,91
2022-04-01T01,29,26,27,84
2022-04-01T02,29,26,21,53
2022-04-01T03,33,38,17,61
2022-04-01T04,11,48,32,28
2022-04-01T05,51,0,43,74
2022-04-01T06,32,0,28,17
2022-04-01T07,40,0,32,63
2022-04-01T08,43,28,41,92
2022-04-01T09,93,20,72,82
2022-04-01T10,89,41,73,97
2022-04-01T11,81,33,81,72
2022-04-01T12,85,53,72,77
2022-04-01T13,62,44,67,83
2022-04-01T14,62,37,67,90
2022-04-01T15,61,24,68,100
2022-04-01T16,73,41,62,94
2022-04-01T17,47,31,62,85
2022-04-01T18,55,46,50,77
2022-04-01T19,36,10,56,84
2022-04-01T20,38,24,41,76
2022-04-01T21,38,33,49,70
2022-04-01T22,35,58,43,67
2022-04-01T23,44,26,23,65
2022-04-02T00,27,25,32,87
2022-04-02T01,13,24,28,72
2022-04-02T02,20,22,18,52
2022-04-02T03,20,0,17,84
2022-04-02T04,10,43,25,32
2022-04-02T05,21,0,32,65
2022-04-02T06,16,0,37,19
2022-04-02T07,14,0,33,65
2022-04-02T08,29,18,37,40
2022-04-02T09,34,0,47,47
2022-04-02T10,22,13,46,45
2022-04-02T11,31,30,41,66
2022-04-02T12,28,18,40,67
2022-04-02T13,22,11,35,58
2022-04-02T14,28,6,30,69
2022-04-02T15,27,11,40,44
2022-04-02T16,27,43,39,63
2022-04-02T17,19,23,49,81
2022-04-02T18,27,12,40,71
2022-04-02T19,26,50,31,60
2022-04-02T20,20,45,32,48
2022-04-02T21,33,33,29,60
2022-04-02T22,24,10,37,62
2022-04-02T23,25,30,27,63
2022-04-03T00,17,23,26,43
2022-04-03T01,17,23,22,44
2022-04-03T02,20,32,20,38
2022-04-03T03,10,46,14,45
2022-04-03T04,19,0,22,54
2022-04-03T05,22,24,24,35
2022-04-03T06,34,18,24,21
2022-04-03T07,19,27,26,43
2022-04-03T08,18,10,31,53
2022-04-03T09,31,8,34,56
2022-04-03T10,28,13,48,62
2022-04-03T11,49,18,35,77
2022-04-03T12,37,6,35,72
2022-04-03T13,34,22,38,62
2022-04-03T14,30,34,34,78
2022-04-03T15,30,38,34,80
2022-04-03T16,31,27,30,67
2022-04-03T17,42,27,38,80
2022-04-03T18,55,32,44,73
2022-04-03T19,37,16,42,59
2022-04-03T20,30,24,34,80
2022-04-03T21,31,14,34,62
2022-04-03T22,29,5,36,42
2022-04-03T23,23,14,33,46
2022-04-04T00,18,17,29,68
2022-04-04T01,23,56,17,51
2022-04-04T02,19,12,19,42
2022-04-04T03,17,0,28,21
2022-04-04T04,21,22,16,20
2022-04-04T05,18,67,23,32
2022-04-04T06,36,0,20,13
2022-04-04T07,36,10,27,60
2022-04-04T08,52,7,46,42
2022-04-04T09,96,20,88,52
2022-04-04T10,100,80,81,69
2022-04-04T11,83,95,88,95
2022-04-04T12,75,84,94,87
2022-04-04T13,76,100,92,67
2022-04-04T14,72,46,76,69
2022-04-04T15,81,65,62,77
2022-04-04T16,78,51,66,72
2022-04-04T17,52,41,66,94
2022-04-04T18,56,63,60,67
2022-04-04T19,44,69,46,52
2022-04-04T20,38,40,47,56
2022-04-04T21,36,9,47,75
2022-04-04T22,41,40,43,70
2022-04-04T23,26,39,34,54
2022-04-05T00,24,44,31,74
2022-04-05T01,27,37,19,82
2022-04-05T02,24,0,32,65
2022-04-05T03,28,19,21,46
2022-04-05T04,22,47,28,35
2022-04-05T05,33,23,29,34
2022-04-05T06,51,44,55,69
2022-04-05T07,31,20,51,57
2022-04-05T08,24,27,47,50
2022-04-05T09,77,40,83,71
2022-04-05T10,82,40,100,60
2022-04-05T11,88,36,87,65
2022-04-05T12,83,31,84,73
2022-04-05T13,61,30,75,70
2022-04-05T14,61,28,74,71
2022-04-05T15,80,47,76,66
2022-04-05T16,63,47,76,81
2022-04-05T17,53,50,61,88
2022-04-05T18,44,65,45,54
2022-04-05T19,32,41,38,50
2022-04-05T20,40,22,38,53
2022-04-05T21,30,15,34,68
2022-04-05T22,24,31,31,47
2022-04-05T23,19,50,38,72
2022-04-06T00,16,32,24,72
2022-04-06T01,22,32,16,74
2022-04-06T02,19,49,26,57
2022-04-06T03,5,33,26,57
2022-04-06T04,25,0,37,35
2022-04-06T05,42,0,21,11
2022-04-06T06,11,50,20,65
2022-04-06T07,34,16,33,41
2022-04-06T08,39,11,49,55
2022-04-06T09,81,57,90,45
2022-04-06T10,58,43,78,59
2022-04-06T11,67,52,78,37
2022-04-06T12,61,35,81,55
2022-04-06T13,47,51,76,60
2022-04-06T14,63,7,70,53
2022-04-06T15,58,64,56,66
2022-04-06T16,65,0,75,77
