date,nc_search,ceo_search,lineage_search,stock_search,stock_price
2021-03-21,10,44,38,4,932000
2021-03-28,20,31,39,20,834000
2021-04-04,14,15,36,10,885000
2021-04-11,10,23,31,6,906000
2021-04-18,11,10,32,6,894000
2021-04-25,8,3,27,1,861000
2021-05-02,10,3,27,2,820000
2021-05-09,8,8,25,2,850000
2021-05-16,8,10,29,5,823000
2021-05-23,7,18,26,4,856000
2021-05-30,9,10,29,5,854000
2021-06-06,5,3,31,3,858000
2021-06-13,5,8,31,1,848000
2021-06-20,7,11,37,4,825000
2021-06-27,8,13,33,2,820000
2021-07-04,6,8,40,3,834000
2021-07-11,10,30,29,8,778000
2021-07-18,6,13,27,7,809000
2021-07-25,7,8,25,1,809000
2021-08-01,3,19,23,3,812000
2021-08-08,7,19,31,2,790000
2021-08-15,10,16,35,5,853000
2021-08-22,61,48,38,62,709000
2021-08-29,93,81,33,100,633000
2021-09-05,72,36,30,80,611000
2021-09-12,100,100,31,99,589000
2021-09-19,42,51,31,40,571000
2021-09-26,54,31,32,50,571000
2021-10-03,53,34,33,50,560000
2021-10-10,26,8,30,26,582000
2021-10-17,23,6,30,19,619000
2021-10-24,19,11,33,16,621000
2021-10-31,64,65,100,68,595000
2021-11-07,62,14,77,67,786000
2021-11-14,44,17,70,40,760000
2021-11-21,25,14,60,18,700000
2021-11-28,12,6,50,9,690000
2021-12-05,13,3,46,9,737000
2021-12-12,9,8,38,7,680000
2021-12-19,8,9,47,6,656000
2021-12-26,9,0,43,5,643000
2022-01-02,9,9,39,6,606000
2022-01-09,8,8,39,7,583000
2022-01-16,8,3,32,8,565000
2022-01-23,14,6,35,11,567000
2022-01-30,9,3,33,7,536000
2022-02-06,17,14,33,11,540000
2022-02-13,20,6,35,13,510000
2022-02-20,25,14,33,23,492500
2022-02-27,13,100,30,11,463500
2022-03-06,13,14,34,12,459500
2022-03-13,19,6,32,14,452000
